,index,client_id,num_dist_account,choice_type,expenditure_type,income_type,account_transfer_operation,card_operation,choice_operation,deposit_operation,operation_unknown,transfer_from_account_operation
0,0,1,1,0.0,180854.0,194320.5,98080.0,0.0,82774.0,25700.0,3065.5,165555.0
1,1,2,2,217442.0,1458946.6,1770112.5,618247.8,0.0,1058140.8,219389.0,12787.5,1537936.0
2,2,3,2,0.0,228021.8,289831.0,136164.0,0.0,91857.8,1400.0,4306.0,284125.0
3,3,4,1,0.0,299949.6,347617.5,185838.0,0.0,114111.6,900.0,6598.5,340119.0
4,4,5,1,0.0,561772.0,630267.9,97600.0,5900.0,458272.0,623775.0,6492.9,0.0
5,5,6,1,0.0,820144.4,892761.7,319628.0,0.0,500516.4,885084.0,7677.7,0.0
6,6,7,1,0.0,336278.2,360155.89999999997,0.0,0.0,336278.2,352557.0,7598.9,0.0
7,7,8,2,0.0,608111.2,690594.0,236379.0,0.0,371732.2,544723.0,9605.0,136266.0
8,8,9,1,0.0,95319.0,121432.3,53880.0,0.0,41439.0,1100.0,1572.3,118760.0
9,9,10,1,0.0,97494.6,110719.4,26884.0,0.0,70610.6,1000.0,871.4,108848.0
10,10,11,1,0.0,373272.0,412586.0,72580.0,13000.0,287692.0,408445.0,4141.0,0.0
11,11,12,2,0.0,1455260.8,1535716.0,181248.0,0.0,1274012.8,1524136.0,11580.0,0.0
12,12,13,2,477127.0,1504028.6,2160591.9,8064.0,0.0,1973091.6,2144372.0,16219.9,0.0
13,13,14,1,32194.0,750127.3,793194.6,20185.6,0.0,762135.7,45800.0,5587.6,741807.0
14,14,15,1,0.0,68527.8,86220.3,48072.0,0.0,20455.8,500.0,1580.3,84140.0
15,15,16,1,0.0,122600.8,175831.5,56484.0,0.0,66116.8,174017.5,1814.0,0.0
16,16,17,2,0.0,2588242.4,2707084.1,690338.0,0.0,1897904.4,2681855.0,25229.1,0.0
17,17,18,1,0.0,333274.0,354856.6,165102.0,0.0,168172.0,351967.5,2889.1,0.0
18,18,19,1,85758.0,1378415.0,1494372.1,248735.4,0.0,1215437.6,1488172.0,6200.1,0.0
19,19,20,1,180637.0,1528996.0,1761404.4,623220.0,0.0,1086413.0,3300.0,9563.4,1748541.0
20,20,21,1,0.0,586378.8,618575.3,235132.0,0.0,351246.8,612344.0,6231.3,0.0
21,21,23,1,0.0,924191.4,961743.3,339989.0,0.0,584202.4,955223.0,6520.3,0.0
22,22,24,1,261796.0,1997027.8,2302979.4,0.0,0.0,2258823.8,2294752.0,8227.4,0.0
23,23,25,1,382295.0,2514894.4,2910488.1,540706.0,0.0,2356483.4,2898893.0,11595.1,0.0
24,24,26,1,0.0,644611.0,734330.7,0.0,0.0,644611.0,725738.0,8592.7,0.0
25,25,27,1,0.0,1559789.4,1672195.4,229628.0,61400.0,1268761.4,1652341.0,19854.4,0.0
26,26,29,2,41655.0,1766398.3,1933104.8,327557.5,0.0,1480495.8,1918412.0,14692.8,0.0
27,27,30,1,37819.0,225865.4,308265.3,107005.4,0.0,156679.0,49700.0,2505.3,256060.0
28,28,31,1,0.0,398611.8,414927.7,183785.0,0.0,214826.8,1100.0,5965.7,407862.0
29,29,32,1,0.0,441204.2,464908.7,251372.0,0.0,189832.2,459285.0,5623.7,0.0
30,30,33,1,0.0,227175.2,327942.9,0.0,0.0,227175.2,324202.0,3740.9,0.0
31,31,34,1,0.0,284504.8,310489.2,143849.0,0.0,140655.8,307233.0,3256.2000000000003,0.0
32,32,35,1,0.0,1390460.0,1451226.7,329450.0,73000.0,988010.0,1436880.0,14346.699999999999,0.0
33,33,36,1,0.0,262787.2,286630.2,147672.0,0.0,115115.2,400.0,4830.2,281400.0
34,34,37,1,0.0,53760.6,79639.3,0.0,0.0,53760.6,77931.0,1708.3,0.0
35,35,39,1,236004.0,2191565.0,2506324.4,442789.0,0.0,1984780.0,8500.0,12200.4,2485624.0
36,36,40,1,0.0,563152.0,634067.7,145940.0,5200.0,412012.0,628885.0,5182.7,0.0
37,37,41,1,0.0,83925.6,99236.2,49632.0,0.0,34293.6,300.0,1202.2,97734.0
38,38,42,1,0.0,915387.6,1001516.6,371943.0,0.0,543444.6,992330.0,9186.6,0.0
39,39,43,1,0.0,612059.6,710282.3,109480.0,13100.0,489479.6,702325.0,7957.3,0.0
40,40,44,1,108632.0,513139.8,642931.6,81377.0,0.0,540394.8,1100.0,3581.6,638250.0
41,41,45,1,0.0,172493.8,187624.0,111189.0,0.0,61304.8,700.0,3013.0,183911.0
42,42,47,1,0.0,138877.4,159865.7,89494.0,0.0,49383.4,300.0,2179.7,157386.0
43,43,48,2,0.0,1798597.8,1919171.1,572253.0,0.0,1226344.8,1904361.0,14810.1,0.0
44,44,49,1,0.0,153112.9,164368.6,0.0,0.0,153112.9,600.0,1256.6,162512.0
45,45,50,1,0.0,861284.2000000001,941096.1,364905.0,0.0,496379.2,930841.0,10255.1,0.0
46,46,52,1,0.0,228073.0,246496.4,128860.0,0.0,99213.0,700.0,4656.4,241140.0
47,47,53,1,0.0,341069.4,357756.1,147745.0,0.0,193324.4,1100.0,6205.1,350451.0
48,48,54,1,0.0,96199.0,128534.0,50117.0,0.0,46082.0,600.0,2334.0,125600.0
49,49,55,1,0.0,98100.0,119829.8,0.0,0.0,98100.0,117148.0,2681.8,0.0
50,50,56,1,0.0,650650.6,706796.5,162844.0,24200.0,463606.6,701415.0,5381.5,0.0
51,51,57,1,193332.0,2696200.0,2989785.1,0.0,14400.0,2875132.0,400.0,15965.1,2973420.0
52,52,58,1,246762.0,1992465.0,2278937.0,480508.0,0.0,1758719.0,6800.0,10932.0,2261205.0
53,53,59,1,165993.0,1608213.0,1871323.5,134013.0,60200.0,1579993.0,9000.0,13355.5,1848968.0
54,54,61,2,0.0,1749510.4,1861504.6,406338.0,46100.0,1297072.4,1841422.0,20082.6,0.0
55,55,62,1,150709.0,1481795.0,1654840.5,272455.0,0.0,1360049.0,1648906.0,5934.5,0.0
56,56,63,1,0.0,1251330.2,1313249.9,351538.0,109100.0,790692.2,1301192.5,12057.4,0.0
57,57,64,1,0.0,530295.0,555590.5,121284.0,0.0,409011.0,551525.0,4065.5,0.0
58,58,65,1,0.0,280295.60000000003,299929.9,140616.0,0.0,139679.6,296245.0,3684.9,0.0
59,59,66,1,45412.0,408892.0,473642.7,0.0,0.0,454304.0,1100.0,2567.7,469975.0
60,60,67,1,0.0,1195769.6,1273705.9,551379.0,0.0,644390.6,1263277.0,10428.9,0.0
61,61,68,1,0.0,84920.0,106821.9,58548.0,0.0,26372.0,600.0,1671.9,104550.0
62,62,69,1,0.0,108174.4,135524.7,76568.0,0.0,31606.4,900.0,2882.7,131742.0
63,63,70,2,349902.0,2127854.0,2598128.9,51109.0,0.0,2426647.0,2492796.0,15896.9,89436.0
64,64,71,2,94580.0,1733175.8,1965115.9,804516.0,0.0,1023239.8,1952507.0,12608.9,0.0
65,65,72,2,0.0,341039.6,415027.9,206817.0,0.0,134222.6,179949.0,8068.9,227010.0
66,66,75,1,0.0,60646.0,98565.9,0.0,0.0,60646.0,96857.0,1708.9,0.0
67,67,76,1,0.0,1407853.4,1431980.4,484218.0,0.0,923635.4,1423701.0,8279.4,0.0
68,68,77,1,15352.0,255283.7,266448.1,0.0,0.0,270635.7,264661.0,1787.1000000000001,0.0
69,69,79,1,0.0,227379.6,261388.5,0.0,0.0,227379.6,257992.0,3396.5,0.0
70,70,80,1,0.0,1101784.0,1182225.9,0.0,57900.0,1043884.0,1172919.0,9306.9,0.0
71,71,81,1,512878.0,2819611.0,3417350.0,246662.0,41900.0,3043927.0,36300.0,20248.0,3360802.0
72,72,82,1,0.0,588336.2,640920.2,209642.0,13200.0,365494.2,635480.0,5440.2,0.0
73,73,83,2,98316.0,1236494.4,1351561.7,330259.0,0.0,1004551.4,1252022.0,8399.7,91140.0
74,74,84,1,0.0,808375.0,883214.5,443912.0,0.0,364463.0,873215.0,9999.5,0.0
75,75,85,1,0.0,602435.2,676120.2,248121.0,0.0,354314.2,669940.0,6180.2,0.0
76,76,86,2,367720.0,1329684.5,1785421.2,213076.2,0.0,1484328.3,1768232.0,17189.2,0.0
77,77,88,1,4019.0,234250.2,255490.69999999998,7348.0,0.0,230921.2,252833.0,2657.7,0.0
78,78,89,1,0.0,894917.4,959859.2,168075.0,65700.0,661142.4,950932.0,8927.2,0.0
79,79,90,1,0.0,506864.2,551131.0,262552.0,0.0,244312.2,542660.0,8471.0,0.0
80,80,91,1,0.0,737924.0,794900.5,192120.0,23400.0,522404.0,784647.0,10253.5,0.0
81,81,93,1,0.0,677758.4,751639.3,147808.0,14800.0,515150.4,745897.0,5742.3,0.0
82,82,95,2,0.0,578844.4,657006.2,211965.0,0.0,366879.4,800.0,9373.2,646833.0
83,83,96,2,0.0,665789.0,725493.9,366651.0,43100.0,256038.0,626081.0,10498.9,88914.0
84,84,97,2,0.0,1071171.2,1160060.6,300081.0,0.0,771090.2,836628.0,9640.6,313792.0
85,85,98,2,0.0,1578965.2,1665844.0,536114.0,0.0,1042851.2000000001,1597331.0,13403.0,55110.0
86,86,99,1,130120.0,920870.0,1076825.9,158600.0,0.0,892390.0,1069679.0,7146.9,0.0
87,87,100,1,0.0,41086.0,76041.7,21160.0,0.0,19926.0,26800.0,1616.7,47625.0
88,88,101,1,0.0,593606.6,650394.6,0.0,1000.0,592606.6,645057.0,5337.6,0.0
89,89,102,1,0.0,315524.4,338908.2,196040.0,0.0,119484.4,200.0,4541.2,334167.0
90,90,103,1,0.0,37968.2,51534.1,14526.0,0.0,23442.2,14800.0,854.1,35880.0
91,91,104,2,357594.0,2119407.0,2592218.8,413504.0,0.0,2063497.0,2577164.0,15054.8,0.0
