,client_id,account_id,type,amount_x,operation,amount_y,_merge,_merge2
0,1.0,239,EXPENDITURE,180854.0,ACCOUNT TRANSFER,98080.0,both,both
1,1.0,239,EXPENDITURE,180854.0,CHOICE,82774.0,both,both
2,1.0,239,EXPENDITURE,180854.0,DEPOSIT,25700.0,both,both
3,1.0,239,EXPENDITURE,180854.0,TRANSFER FROM ACCOUNT,165555.0,both,both
4,1.0,239,INCOME,194320.5,ACCOUNT TRANSFER,98080.0,both,both
5,1.0,239,INCOME,194320.5,CHOICE,82774.0,both,both
6,1.0,239,INCOME,194320.5,DEPOSIT,25700.0,both,both
7,1.0,239,INCOME,194320.5,TRANSFER FROM ACCOUNT,165555.0,both,both
8,2.0,595,CHOICE,217442.0,ACCOUNT TRANSFER,618247.8,both,both
9,2.0,595,CHOICE,217442.0,CHOICE,1058140.8,both,both
10,2.0,595,CHOICE,217442.0,DEPOSIT,219389.0,both,both
11,2.0,595,CHOICE,217442.0,TRANSFER FROM ACCOUNT,1537936.0,both,both
12,2.0,595,EXPENDITURE,1458946.6,ACCOUNT TRANSFER,618247.8,both,both
13,2.0,595,EXPENDITURE,1458946.6,CHOICE,1058140.8,both,both
14,2.0,595,EXPENDITURE,1458946.6,DEPOSIT,219389.0,both,both
15,2.0,595,EXPENDITURE,1458946.6,TRANSFER FROM ACCOUNT,1537936.0,both,both
16,2.0,595,INCOME,1770112.5,ACCOUNT TRANSFER,618247.8,both,both
17,2.0,595,INCOME,1770112.5,CHOICE,1058140.8,both,both
18,2.0,595,INCOME,1770112.5,DEPOSIT,219389.0,both,both
19,2.0,595,INCOME,1770112.5,TRANSFER FROM ACCOUNT,1537936.0,both,both
20,3.0,270,EXPENDITURE,228021.8,ACCOUNT TRANSFER,136164.0,both,both
21,3.0,270,EXPENDITURE,228021.8,CHOICE,91857.8,both,both
22,3.0,270,EXPENDITURE,228021.8,DEPOSIT,1400.0,both,both
23,3.0,270,EXPENDITURE,228021.8,TRANSFER FROM ACCOUNT,284125.0,both,both
24,3.0,270,INCOME,289831.0,ACCOUNT TRANSFER,136164.0,both,both
25,3.0,270,INCOME,289831.0,CHOICE,91857.8,both,both
26,3.0,270,INCOME,289831.0,DEPOSIT,1400.0,both,both
27,3.0,270,INCOME,289831.0,TRANSFER FROM ACCOUNT,284125.0,both,both
28,4.0,246,EXPENDITURE,299949.6,ACCOUNT TRANSFER,185838.0,both,both
29,4.0,246,EXPENDITURE,299949.6,CHOICE,114111.6,both,both
30,4.0,246,EXPENDITURE,299949.6,DEPOSIT,900.0,both,both
31,4.0,246,EXPENDITURE,299949.6,TRANSFER FROM ACCOUNT,340119.0,both,both
32,4.0,246,INCOME,347617.5,ACCOUNT TRANSFER,185838.0,both,both
33,4.0,246,INCOME,347617.5,CHOICE,114111.6,both,both
34,4.0,246,INCOME,347617.5,DEPOSIT,900.0,both,both
35,4.0,246,INCOME,347617.5,TRANSFER FROM ACCOUNT,340119.0,both,both
36,5.0,130,EXPENDITURE,561772.0,ACCOUNT TRANSFER,97600.0,both,both
37,5.0,130,EXPENDITURE,561772.0,CARD,5900.0,both,both
38,5.0,130,EXPENDITURE,561772.0,CHOICE,458272.0,both,both
39,5.0,130,EXPENDITURE,561772.0,DEPOSIT,623775.0,both,both
40,5.0,130,INCOME,630267.9,ACCOUNT TRANSFER,97600.0,both,both
41,5.0,130,INCOME,630267.9,CARD,5900.0,both,both
42,5.0,130,INCOME,630267.9,CHOICE,458272.0,both,both
43,5.0,130,INCOME,630267.9,DEPOSIT,623775.0,both,both
44,6.0,254,EXPENDITURE,820144.4,ACCOUNT TRANSFER,319628.0,both,both
45,6.0,254,EXPENDITURE,820144.4,CHOICE,500516.4,both,both
46,6.0,254,EXPENDITURE,820144.4,DEPOSIT,885084.0,both,both
47,6.0,254,INCOME,892761.7,ACCOUNT TRANSFER,319628.0,both,both
48,6.0,254,INCOME,892761.7,CHOICE,500516.4,both,both
49,6.0,254,INCOME,892761.7,DEPOSIT,885084.0,both,both
50,7.0,361,EXPENDITURE,336278.2,CHOICE,336278.2,both,both
51,7.0,361,EXPENDITURE,336278.2,DEPOSIT,352557.0,both,both
52,7.0,361,INCOME,360155.89999999997,CHOICE,336278.2,both,both
53,7.0,361,INCOME,360155.89999999997,DEPOSIT,352557.0,both,both
54,8.0,342,EXPENDITURE,608111.2,ACCOUNT TRANSFER,236379.0,both,both
55,8.0,342,EXPENDITURE,608111.2,CHOICE,371732.2,both,both
56,8.0,342,EXPENDITURE,608111.2,DEPOSIT,544723.0,both,both
57,8.0,342,EXPENDITURE,608111.2,TRANSFER FROM ACCOUNT,136266.0,both,both
58,8.0,342,INCOME,690594.0,ACCOUNT TRANSFER,236379.0,both,both
59,8.0,342,INCOME,690594.0,CHOICE,371732.2,both,both
60,8.0,342,INCOME,690594.0,DEPOSIT,544723.0,both,both
61,8.0,342,INCOME,690594.0,TRANSFER FROM ACCOUNT,136266.0,both,both
62,9.0,106,EXPENDITURE,95319.0,ACCOUNT TRANSFER,53880.0,both,both
63,9.0,106,EXPENDITURE,95319.0,CHOICE,41439.0,both,both
64,9.0,106,EXPENDITURE,95319.0,DEPOSIT,1100.0,both,both
65,9.0,106,EXPENDITURE,95319.0,TRANSFER FROM ACCOUNT,118760.0,both,both
66,9.0,106,INCOME,121432.3,ACCOUNT TRANSFER,53880.0,both,both
67,9.0,106,INCOME,121432.3,CHOICE,41439.0,both,both
68,9.0,106,INCOME,121432.3,DEPOSIT,1100.0,both,both
69,9.0,106,INCOME,121432.3,TRANSFER FROM ACCOUNT,118760.0,both,both
70,10.0,75,EXPENDITURE,97494.6,ACCOUNT TRANSFER,26884.0,both,both
71,10.0,75,EXPENDITURE,97494.6,CHOICE,70610.6,both,both
72,10.0,75,EXPENDITURE,97494.6,DEPOSIT,1000.0,both,both
73,10.0,75,EXPENDITURE,97494.6,TRANSFER FROM ACCOUNT,108848.0,both,both
74,10.0,75,INCOME,110719.4,ACCOUNT TRANSFER,26884.0,both,both
75,10.0,75,INCOME,110719.4,CHOICE,70610.6,both,both
76,10.0,75,INCOME,110719.4,DEPOSIT,1000.0,both,both
